8434,1016,Fresh Vegetables,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8434,Produce
8437,1016,Fresh Fruits,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8437,Produce
8433,1016,Packaged Vegetables & Fruits,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8433,Produce
8435,1016,Fresh Herbs,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8435,Produce
8333,1016,Tofu & Meat Alternatives,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8333,Produce
8436,1016,Dips,fairway-market/departments/1016,fairway-market/departments/1016/aisles/8436,Produce
8329,1004,Yogurt,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8329,Dairy & Eggs
8325,1004,Packaged Cheese,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8325,Dairy & Eggs
8326,1004,Milk,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8326,Dairy & Eggs
8327,1004,Eggs,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8327,Dairy & Eggs
8328,1004,Cream,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8328,Dairy & Eggs
8324,1004,Butter,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8324,Dairy & Eggs
8323,1004,Other Creams & Cheeses,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8323,Dairy & Eggs
8330,1004,Soy & Lactose-Free,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8330,Dairy & Eggs
8331,1004,Refrigerated Pudding & Desserts,fairway-market/departments/1004,fairway-market/departments/1004/aisles/8331,Dairy & Eggs
8415,1013,Chips & Pretzels,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8415,Snacks
8411,1013,Candy & Chocolate,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8411,Snacks
8414,1013,Cookies & Cakes,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8414,Snacks
8412,1013,Crackers,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8412,Snacks
8419,1013,Energy & Granola Bars,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8419,Snacks
8418,1013,Ice Cream Toppings,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8418,Snacks
8416,1013,"Nuts, Seeds & Dried Fruit",fairway-market/departments/1013,fairway-market/departments/1013/aisles/8416,Snacks
8413,1013,Popcorn & Jerky,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8413,Snacks
8410,1013,Trail Mix & Snack Mix,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8410,Snacks
8409,1013,Mint & Gum,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8409,Snacks
8417,1013,Fruit & Vegetable Snacks,fairway-market/departments/1013,fairway-market/departments/1013/aisles/8417,Snacks
8318,1003,"Water, Seltzer & Sparkling Water",fairway-market/departments/1003,fairway-market/departments/1003/aisles/8318,Beverages
8320,1003,Coffee,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8320,Beverages
8321,1003,Tea,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8321,Beverages
8322,1003,Juice & Nectars,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8322,Beverages
8319,1003,Energy & Sports Drinks,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8319,Beverages
8317,1003,Refrigerated,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8317,Beverages
8316,1003,Soft Drinks,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8316,Beverages
8315,1003,Cocoa & Drink Mixes,fairway-market/departments/1003,fairway-market/departments/1003/aisles/8315,Beverages
8372,1009,Condiments,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8372,Pantry
8368,1009,"Honeys, Syrups & Nectars",fairway-market/departments/1009,fairway-market/departments/1009/aisles/8368,Pantry
8371,1009,Spreads,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8371,Pantry
8373,1009,Salad Dressing & Toppings,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8373,Pantry
8369,1009,Oils & Vinegars,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8369,Pantry
8374,1009,Pickled Goods & Olives,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8374,Pantry
8363,1009,Marinades & Meat Preparation,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8363,Pantry
8366,1009,Preserved Dips & Spreads,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8366,Pantry
8367,1009,"Doughs, Gelatins & Bake Mixes",fairway-market/departments/1009,fairway-market/departments/1009/aisles/8367,Pantry
8370,1009,Spices & Seasonings,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8370,Pantry
8364,1009,Baking Ingredients,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8364,Pantry
8365,1009,Baking Supplies & Decor,fairway-market/departments/1009,fairway-market/departments/1009/aisles/8365,Pantry
8459,1020,Ice Cream & Ice,fairway-market/departments/1020,fairway-market/departments/1020/aisles/8459,Frozen
8460,1020,Frozen Breakfast,fairway-market/departments/1020,fairway-market/departments/1020/aisles/8460,Frozen
8461,1020,Frozen Appetizers & Sides,fairway-market/departments/1020,fairway-market/departments/1020/aisles/8461,Frozen
