"Product Name","Description","Brand","ProductPageUrl","OverallRatingRange","SecondaryRatingsAveragesQuality","SecondaryRatingsAveragesValue","Id","CID","SourceClient","LastModificationTime","LastModeratedTime","ProductId","CampaignId","UserLocation","AuthorId","IsFeatured","TotalClientResponseCount","TotalCommentCount","Rating","IsRecommended","Helpfulness","TotalFeedbackCount","TotalNegativeFeedbackCount","TotalPositiveFeedbackCount","ModerationStatus","SubmissionTime","ReviewText","Title","UserNickname","SecondaryRatings_Value_Value","SecondaryRatings_Quality_Value"
"Fragrance Sampler & Certificate For Him","Sample 10 of our most sensational fragrances. Select the scent you like best. Submit your scent certificate for a full-size bottle of your favourite one.","Beauty Boutique","https://www.beautyboutique.ca/Categories/Gifts-%26-Sets/Fragrance/Fragrance-Sampler-%26-Certificate-For-Him/p/BB_057800948735","5","5.0","3.0","189318331","1860193b-5334-551b-bdc1-a1ebb6afa53c","beautyboutique","2017-07-12T12:45:17.000+00:00","2017-07-12T12:45:17.000+00:00","057800948735","BV_REVIEW_DISPLAY","St. Thomas, ON, Canada","h4teaq1xo5qtl3dq1gllqbfso","False","0","0","5","True","","0","0","0","APPROVED","2017-07-11T01:31:11.000+00:00","I bought my son one also and his wife .I know this is the gift they will just love.I just wish they would of offered so points.","I bought a sampler and he just loves it.Great gift","jimmy","5","5"
"Fragrance Sampler & Certificate For Him","Sample 10 of our most sensational fragrances. Select the scent you like best. Submit your scent certificate for a full-size bottle of your favourite one.","Beauty Boutique","https://www.beautyboutique.ca/Categories/Gifts-%26-Sets/Fragrance/Fragrance-Sampler-%26-Certificate-For-Him/p/BB_057800948735","5","5.0","3.0","187083285","b90b7f92-376e-5f9a-b8bc-79b4b17df853","beautyboutique","2017-06-22T11:30:20.000+00:00","2017-06-22T11:30:20.000+00:00","057800948735","BV_REVIEW_DISPLAY","Montreal, QC, Canada","i0meqk5o5w82brpn4puusrlc0","False","0","0","1","False","0.25","4","3","1","APPROVED","2017-06-20T20:30:23.000+00:00","Bought this kit. When I got it at home the certificates on he says you're allowed to have the small regular bottles of perfume.  Not the full-size bottle as indicated on the website. There is no mention of any milliliters or ounces on the website.","Not worth it.","Moi m","1","5"
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","56570352","1da8eb43-b9d9-555b-97b1-69e8a79acb70","biotherm","2014-04-07T02:45:05.000+00:00","2014-04-07T02:45:05.000+00:00","3614271327352","BV_PIE","White Plains, NY, USA","K-00378134","False","0","0","5","True","","0","0","0","APPROVED","2014-04-05T21:02:31.000+00:00","A friend of mine introduced me this Aquapower skin lotion when I visited Europe and fell in love with it immediately. I have been using it ever since. It's been many years and I still love it. I only use small amount of it each morning after shower and it's amazing how effective it is. I like how it feels on my face and was told that my skin feels soft, all day. I also like the fragrance of it, elegant, subtle, not overwhelming and long lasting. The price has gone up in recent years; other than that, I am happy to keep using it.","Great product","Thomas","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","62718333","4f1870b7-5629-582d-9805-1e5ee0650f3a","biotherm","2014-07-15T21:45:14.000+00:00","2014-07-15T21:45:14.000+00:00","3614271327352","BV_PIE","Plano, TX","24612641","False","0","0","5","True","","0","0","0","APPROVED","2014-07-13T21:54:11.000+00:00","I really like this product. I discovered it several years ago where it was included a first class toiletry bag on Cathy Pacific. I was able to purchase the product in Asia and have used it ever since except for a lapse when I was not able to obtain it in the US, before I discovered the on-line ordering.

The product is a fantastic moisturizer, is not too heavy or greasy and I really like the clean scent. I tried the Aquapower lotion but prefer the consistency of this product.","Good moisturizing without being greasy and smells great","EricW","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","75672996","544104dd-8eea-5879-bef2-37cddc5e93bc","biotherm","2015-03-15T17:00:25.000+00:00","2015-03-15T17:00:25.000+00:00","3614271327352","BV_PIE","Arlington, VA, USA","K-02763168","False","0","0","5","True","","0","0","0","APPROVED","2015-03-14T03:20:58.000+00:00","I use Aquapower for years. In Europe you can buy it in all best cosmetics stores, here in US it's available online.
I love its texture - a perfect blend of cream and gel which is super light and gets absorbed very quick.
It smells nice, it's easy to apply (I love products with pump instead of jars) and I get a lot of compliments about my skin.
My face looks fresh and skin feels super comfortable.
This is the product every man should have and use.","The best men's moisturizer on the market!","MaciejS","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","52357987","46d24651-fad0-50e1-9c87-51b4046029c1","biotherm","2014-01-10T01:15:06.000+00:00","2014-01-10T01:15:06.000+00:00","3614271327352","BV_PIE","Encinitas, CA, USA","K-00181274","False","0","0","5","True","","0","0","0","APPROVED","2014-01-07T23:38:17.000+00:00","My husband has always been very reluctant to use any skin care product that had not been prescribed or recommended by his dermatologist. AQUAPOWER was the breach in this pattern! This product is genuinely true to its marketing line : the skin feels new and ultra fresh after Aquapower is applied, has an agreable smell, is not greasy at all. The freshness lasts all day long. Excellent product in every way!!","Finally, a great skin care product for men!","Rose1845","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","65404164","3f4c80e9-ab2a-54ed-b441-355513a337ef","biotherm","2014-09-29T12:30:05.000+00:00","2014-09-29T12:30:05.000+00:00","3614271327352","BV_PIE","","14058223","False","0","0","4","True","","0","0","0","APPROVED","2014-09-24T14:33:24.000+00:00","I have been using this product for several years now. In the winter time in Colorado, it gets very dry and AQUAPOWER helps combat the harsh conditions and leaves my face feeling fresh and nourished. The texture of the gel allows it to be easily absorbed into my skin. I would highly recommend this product for guys who get dry skin on their face.","great after shaving","twsummit","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","132294466","0cc63fd3-8a1b-58cd-8140-27d01fd59bcb","biotherm","2016-10-26T22:30:12.000+00:00","2016-10-26T22:30:12.000+00:00","3614271327352","BV_REVIEW_DISPLAY","Montreal, QC, Canada","30021032","False","0","0","5","True","","0","0","0","APPROVED","2016-10-26T02:12:30.000+00:00","I tried many moisturizers for men, but they would often feel too heavy and leave my skin with a feeling of oiliness. I tend to feel hot easily and cam sweat if uncomfortable (I prefer cool climates), so most skin products make me uncomfortable, and even induce sweating. This has the right balance of texture, moisturizing, without heavy oils.","Moisturizes without leaving a feeling of oiliness","Robert Raz","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","69557312","804548ac-c032-5b0d-945a-8accfd3186be","biotherm","2014-12-27T05:45:02.000+00:00","2014-12-27T05:45:02.000+00:00","3614271327352","BV_REVIEW_DISPLAY","CA","K-02713656","False","0","0","5","True","","0","0","0","APPROVED","2014-12-25T04:33:50.000+00:00","my husband dose not like to put on lotion or moistrizer because he feel greesy soon after he put onit.
when I order my stuffs i request the samples for him and he liked it.
So, for last Thanksgiving present, I bought the Aquapower gift set and he really lovee them and he put on everyday without complaints.","Great moisturizer","indream","",""
"Aquapower Normal Skin","OLIGO-THERMAL COMFORT CARE MOISTURIZING - ANTI-DRYNESS, BIOTHERM HOMME'S #1 BEST SELLING MOISTURIZER. The benefits of 5000 litres of thermal spa water have been concentrated into this ultra-moisturizing, fresh, and light cream gel, enriched with Pure Extract of Life Plankton.","Biotherm","https://www.beautyboutique.ca/Categories/Men/Skin-Care/Moisturizers/Aquapower-Normal-Skin/p/BB_3614271327352","5","4.5","4.5","128122602","edd8f483-f082-54c5-b51e-e607d5dfb7a2","biotherm","2016-09-18T21:45:14.000+00:00","2016-09-18T21:45:14.000+00:00","3614271327352","BV_REVIEW_DISPLAY","Ontario, Canada","35nu1e2ecdl8ooychcnm10mya","False","0","0","5","True","","0","0","0","APPROVED","2016-09-17T21:05:20.000+00:00","I've been using this for years and what can I say, it's simply the BEST moisturizer for men. Price is reasonable too for a product that makes your skin stay hydrated without that sticky feel and it lasts the whole day with a refreshing clean scent.

I also love the new design of the bottle.","Simply the BEST out there","KZachary","",""
